#time    #x    #y
1 -1.968028416990114 0.17402862153319062
2 -1.9775220289924371 0.16694500171566626
3 -1.9785281867068736 0.12273768813870195
4 -2.014436746913092 0.13254443099360788
5 -2.0270789280968664 0.06253662093206747
6 -2.0453425862378345 0.057907454696861316
7 -2.0100167232719657 0.0833496040209095
8 -2.0037732670564945 0.10055592079369494
9 -2.0046803690558224 0.05450739953202713
10 -2.004267666923315 0.06361146948111507
11 -2.005243757272289 0.0526182700865976
12 -1.997677738815168 0.10062182615929333
13 -1.9869623394058422 0.09033098035845795
14 -2.0253805290739244 0.11644819125531039
15 -2.020848900104367 0.08910108953690365
16 -2.021755502482573 0.09539064961974764
17 -2.015988814480742 0.05250767477745114
18 -1.975329545844991 0.0715702025420299
19 -1.9190754898459514 0.07902678255824716
20 -1.884773249521888 0.06861260742043915
