#time #flux
0 0.0
10 0.08
20 0.16
30 0.208
40 0.275933333333
50 0.356355555556
60 0.395059259259
70 0.406262962963
80 0.420012962963
90 0.446283796296
100 0.46130462963
110 0.46130462963
120 0.505350578704
130 0.53663617284
140 0.55579929784
150 0.577968248457
160 0.594890802469
170 0.623910367863
180 0.624646863555
190 0.62897534236
200 0.630250496037
210 0.631515577927
220 0.633535889482
230 0.633686186564
240 0.633686186564
250 0.634022329001
260 0.634177410874
270 0.634277608929
280 0.634277608929
290 0.634323324744
300 0.634400358183
310 0.63448077722
320 0.634487299085
330 0.634491312975
340 0.6344926804
350 0.634493552946
360 0.634493936235
370 0.634493988596
380 0.634494002233
390 0.634494002233
400 0.634494002233
410 0.634494008869
420 0.634494008869
430 0.634494010233
440 0.634494010233
450 0.63449401096
460 0.634494011069
470 0.634494011069
480 0.634494011153
490 0.6344940115
500 0.634494011537
510 0.634494011548
520 0.634494011579
530 0.634494011597
540 0.634494011602
550 0.634494011603
560 0.634494011604
570 0.634494011604
580 0.634494011604
590 0.634494011604
600 0.634494011604
610 0.634494011604
620 0.634494011604
630 0.634494011604
640 0.634494011604
650 0.641040073214
660 0.642395494612
670 0.643043866428
680 0.643776401894
690 0.644134097403
700 0.644331881979
710 0.644369288045
720 0.644392666837
730 0.644414175325
740 0.644414175325
750 0.644415422194
760 0.644416544376
770 0.644416544376
780 0.644417050916
790 0.644417449222
800 0.644417449222
810 0.644417549087
820 0.64441756017
830 0.644417570185
840 0.644417595123
850 0.644417595123
860 0.644417596061
870 0.644417598875
880 0.644417599252
890 0.644417599747
900 0.644417600091
910 0.644417600166
920 0.644417600232
930 0.644417600232
940 0.644417600232
950 0.644417600245
960 0.644417600249
970 0.644417600253
980 0.644417600261
990 0.644417600261
1000 0.644417600262
1010 0.644417600262
1020 0.644417600262
1030 0.644417600263
1040 0.644417600263
1050 0.644417600263
1060 0.644417600263
1070 0.644417600263
1080 0.644417600263
1090 0.644417600263
1100 0.644417600263
1110 0.644417600263
1120 0.644417600263
1130 0.644417600263
1140 0.644417600263
1150 0.644417600263
1160 0.644417600263
1170 0.644417600263
1180 0.644417600263
1190 0.644417600263
1200 0.644417600263
1210 0.644417600263
1220 0.644417600263
1230 0.644417600263
1240 0.661468743533
1250 0.661468743533
1260 0.664055069794
1270 0.670769380435
1280 0.670769380435
1290 0.679285655964
1300 0.680427334999
1310 0.701192252875
1320 0.70413436009
1330 0.705664255842
1340 0.706017308708
1350 0.70712354102
1360 0.707981655625
1370 0.707981655625
1380 0.708195106214
1390 0.708247410342
1400 0.708396150207
1410 0.708446819831
1420 0.708479509911
1430 0.708487682431
1440 0.708501848133
1450 0.708506915095
1460 0.708511582512
1470 0.708514306685
1480 0.708514730446
1490 0.708515707112
1500 0.715190824423
1510 0.71889938194
1520 0.71889938194
1530 0.721890431187
1540 0.742888526724
1550 0.773867283918
1560 0.782039565449
1570 0.787238166918
1580 0.792987113171
1590 0.795621495581
1600 0.795621495581
1610 0.797160826973
1620 0.798056307739
1630 0.798575802894
1640 0.798625155355
1650 0.79913234185
1660 0.799290065764
1670 0.799308853235
1680 0.799318005117
1690 0.79932236994
1700 0.799324876374
1710 0.799335554766
1720 0.799370807458
1730 0.799375097784
1740 0.799376320625
1750 0.799376576746
1760 0.799376631018
1770 0.799376652727
1780 0.799376682242
1790 0.799376720669
1800 0.799376724358
1810 0.799376731316
1820 0.799376731316
1830 0.799376732581
1840 0.799376732834
1850 0.799376733087
1860 0.799376734741
1870 0.79937673519
1880 0.799376735439
1890 0.799376735923
1900 0.799376736081
1910 0.799376736101
1920 0.804925805774
1930 0.805414694663
1940 0.80547336133
1950 0.805791139108
1960 0.805925583552
1970 0.805974472441
1980 0.80597936133
1990 0.806005211332
