#time #flux_forward #flux_backward
0 0.0 0.111111111111
10 0.0 0.168888888889
20 0.0 0.307901234568
30 0.0 0.334567901235
40 0.0 0.34612345679
50 0.0 0.390320987654
60 0.0 0.474691358025
70 0.00263374485597 0.496913580247
80 0.00263374485597 0.582427983539
90 0.00263374485597 0.59350617284
100 0.00263374485597 0.688427526292
110 0.00380279835391 0.752955326932
120 0.00541349428441 0.790569547325
130 0.00866086511203 0.863525468679
140 0.00871282304527 0.863525468679
150 0.00873360621856 0.870932876086
160 0.00873360621856 0.88058079561
170 0.00873360621856 0.893723118427
180 0.0110379581373 0.893723118427
190 0.013501805133 0.893723118427
200 0.0159951689494 0.893723118427
210 0.0159951689494 0.893723118427
220 0.0165433617432 0.91120075124
230 0.0170622418203 0.912400065115
240 0.0185673493469 0.917441756366
250 0.0185947589865 0.921616301441
260 0.0185947589865 0.921616301441
270 0.0185947589865 0.923202508808
280 0.0201104377516 0.924254676255
290 0.0201104377516 0.930328308614
300 0.020226117814 0.930328308614
310 0.0203417978763 0.930328308614
320 0.0205607125335 0.946080404912
330 0.0205992725543 0.949862341909
340 0.0208507457288 0.952138752419
350 0.0208507457288 0.957206310893
360 0.0210786493183 0.959898663999
370 0.0210786493183 0.964038338343
380 0.0215554726614 0.965163265563
390 0.0219296829361 0.965444497367
400 0.0219296829361 0.966009631923
410 0.0219296829361 0.966009631923
420 0.0219296829361 0.966009631923
430 0.0219296829361 0.966776348383
440 0.0219296829361 0.966997210098
450 0.0219296829361 0.966997210098
460 0.0219344412202 0.967934127319
470 0.0224312933694 0.96920333061
480 0.0224312933694 0.969691634186
490 0.0224312933694 0.970017169902
500 0.0224312933694 0.970179937761
510 0.0224312933694 0.970179937761
520 0.0228334660478 0.970179937761
530 0.022939952268 0.970179937761
540 0.0231377594262 0.970179937761
550 0.0231377594262 0.970179937761
560 0.0231377594262 0.970252834962
570 0.0233711712864 0.970252834962
580 0.0233711712864 0.970252834962
590 0.0233717120106 0.970252834962
600 0.0233720364451 0.970252834962
610 0.0234616321152 0.970252834962
620 0.0234934147952 0.970252834962
630 0.0234934147952 0.970252834962
640 0.0235268801695 0.970252834962
650 0.0235427395851 0.970252834962
660 0.0235879467068 0.970252834962
670 0.0235911185899 0.970252834962
680 0.0235916581216 0.970252834962
690 0.0235919278874 0.970252834962
700 0.0235919278874 0.970252834962
710 0.0235919278874 0.970252834962
720 0.0235919278874 0.970252834962
730 0.0235919278874 0.970252834962
740 0.0235919278874 0.970252834962
750 0.0236047641029 0.970252834962
760 0.0236047641029 0.970252834962
770 0.0236047641029 0.970252834962
780 0.0236047641029 0.970252834962
790 0.023678584993 0.970252834962
800 0.0236870442681 0.970252834962
810 0.0236870442681 0.970252834962
820 0.0236992913889 0.970252834962
830 0.0236992913889 0.970252834962
840 0.0236992913889 0.970252834962
850 0.0236992913889 0.970252834962
860 0.0236992913889 0.970252834962
870 0.0236992913889 0.970252834962
880 0.0237202028158 0.970252834962
890 0.0237202028158 0.970252834962
900 0.0237202028158 0.970252834962
910 0.0237212721777 0.970252834962
920 0.0237212721777 0.970252834962
930 0.0238352552497 0.970252834962
940 0.0238352552497 0.970252834962
950 0.0238352552497 0.970252834962
960 0.0238352552497 0.970252834962
970 0.0238352552497 0.970252834962
980 0.0238352552497 0.970252834962
990 0.0238352552497 0.970252834962
1000 0.0238352552497 0.970252834962
1010 0.0238352552497 0.970261533129
1020 0.0238352552497 0.970267331907
1030 0.0238352552497 0.970267331907
1040 0.0238779522502 0.970267331907
1050 0.0238779522502 0.970267331907
1060 0.0238779522502 0.970267331907
1070 0.0238779522502 0.970267331907
1080 0.0238779522502 0.970267331907
1090 0.0238779522502 0.970267331907
1100 0.0239416017841 0.970267331907
1110 0.0239416017841 0.970267331907
1120 0.024003708133 0.970267331907
1130 0.024003708133 0.970267331907
1140 0.0240084046888 0.970267331907
1150 0.0240084046888 0.970267331907
1160 0.0240171862773 0.970267331907
1170 0.0240455267181 0.970267331907
1180 0.0240616757228 0.970267331907
1190 0.0240616757228 0.970267331907
1200 0.0240858943431 0.970267331907
1210 0.0240858943431 0.970267331907
1220 0.0240858943431 0.970267331907
1230 0.0240858943431 0.970267331907
1240 0.0241601094413 0.970267331907
1250 0.0242318241172 0.970267331907
1260 0.0242318241172 0.970267331907
1270 0.0242318241172 0.970267331907
1280 0.0242318241172 0.970267331907
1290 0.0242318241172 0.970267331907
1300 0.0242318241172 0.970267331907
1310 0.0242997161198 0.970267331907
1320 0.0243336621212 0.970267331907
1330 0.0243724524917 0.970267331907
1340 0.0244325322612 0.970267331907
1350 0.0244325322612 0.970267331907
1360 0.0245505189743 0.970267331907
1370 0.0245505189743 0.970267331907
1380 0.0245986367124 0.970267331907
1390 0.0245986367124 0.970267331907
1400 0.0246013166002 0.970267331907
1410 0.0246019865721 0.970303718214
1420 0.0246019865721 0.970303718214
1430 0.0246019865721 0.970303718214
1440 0.0246019865721 0.970323365292
1450 0.0246419982706 0.970327294708
1460 0.0246484001424 0.970328167911
1470 0.0246708066935 0.970328342552
1480 0.0246708066935 0.970328342552
1490 0.0246708066935 0.970328342552
1500 0.0246708066935 0.970328342552
1510 0.0246708066935 0.970328342552
1520 0.0246708066935 0.970328342552
1530 0.0246708066935 0.970328342552
1540 0.0246708066935 0.970328342552
1550 0.0246708066935 0.970328342552
1560 0.0246708066935 0.970328342552
1570 0.0246708066935 0.970328342552
1580 0.0246708066935 0.970328342552
1590 0.0247563303389 0.970337321662
1600 0.0248188913379 0.970337321662
1610 0.0248188913379 0.970337321662
1620 0.0248188913379 0.970337321662
1630 0.0248188913379 0.970337321662
1640 0.0248188913379 0.970337321662
1650 0.0248665575129 0.970337321662
1660 0.024872112635 0.970337321662
1670 0.0248992332847 0.970361029714
1680 0.0248992332847 0.970361029714
1690 0.0248992332847 0.970408445817
1700 0.0249535500941 0.970408445817
1710 0.0249535500941 0.970408445817
1720 0.025053915401 0.970408445817
1730 0.025053915401 0.970408445817
1740 0.025053915401 0.970408445817
1750 0.025053915401 0.970408445817
1760 0.025053915401 0.970408445817
1770 0.025053915401 0.970408445817
1780 0.025053915401 0.970408445817
1790 0.025053915401 0.970408445817
1800 0.025053915401 0.970408445817
1810 0.025053915401 0.970408445817
1820 0.025053915401 0.970408445817
1830 0.025053915401 0.970408445817
1840 0.025053915401 0.970408445817
1850 0.0250668383751 0.970408445817
1860 0.0250668383751 0.970408445817
1870 0.0250668383751 0.970408445817
1880 0.0250668383751 0.970408445817
1890 0.0250668383751 0.970408445817
