#time    #x    #y
1 -1.0597248341015857 -0.29080291165137745
2 -1.0895728290285418 -0.22623732462836
3 -1.0503648021823735 -0.23462270798653598
4 -1.052236467448929 -0.21239189184861132
5 -1.0934108559652034 -0.20640583841335094
6 -1.1214512392453029 -0.20562189532471267
7 -1.1635454448191322 -0.2208328121562595
8 -1.1808630025517133 -0.2536539362353194
9 -1.1750362777257035 -0.2096265991817504
10 -1.202669842323111 -0.1631169615247688
11 -1.2367976969809589 -0.2315650739998798
12 -1.2169952423042254 -0.19491377813317542
13 -1.2376904808415123 -0.15901989035418768
14 -1.2335410484899971 -0.17569036513654293
15 -1.2377808041335656 -0.13920778711045106
16 -1.214469623170775 -0.1544877687700636
17 -1.2141045459383302 -0.15196325405968106
18 -1.2063701832987674 -0.11829481707763446
19 -1.2097466802441463 -0.14564815591872823
20 -1.210062478164674 -0.12916298308695853
